----------------------------------------																											
----       Per-function profile     ----																											
----------------------------------------																											
				Core 0						Core 1						Core 2						Core 3					
Func Name	Total Energy(j)	Total Time(s)	Total Energy Efficiency(inst/joule)	Energy(j)	Time(s)	Energy Efficiency(inst/joule)	% of Total Function Energy	%of Total Function Time	% difference in Energy Efficiency	Energy(j)	Time(s)	Energy Efficiency(inst/joule)	% of Total Function Energy	%of Total Function Time	% difference in Energy Efficiency	Energy(j)	Time(s)	Energy Efficiency(inst/joule)	% of Total Function Energy	%of Total Function Time	% difference in Energy Efficiency	Energy(j)	Time(s)	Energy Efficiency(inst/joule)	% of Total Function Energy	%of Total Function Time	% difference in Energy Efficiency
Integrate::initialIntegrateItem(int const&) const at integrate.cpp	0.344843	0.026	262520000	0.869913	0.796813	0.221011	0.1998																				
compute_halfneigh_threadedItem<1, 1> at force_lj.cpp	0.303075	0.026	291244000	0.764549	0.796813	0.194243	0.1998																				
random at setup.cpp	0.199895	0.01	209021000	0.504262	0.306466	0.128114	0.0768462																				
Integrate::finalIntegrateItem(int const&) const at integrate.cpp	0.198385	0.012	211383000	0.500452	0.36776	0.127146	0.0922155																				
ViewAssignment<int const*, Kokkos::OpenMP, Kokkos::MemoryTraits<1u>, void, int**, Kokkos::LayoutRight, Kokkos::OpenMP, void> at Kokkos_ViewDefault.hpp	0.0869435	0.007	604649000	0.219327	0.214527	0.0557225	0.0537924																				
Atom::unpack_reverseItem(int const&) const at atom.cpp	0.0861622	0.004	166388000	0.217356	0.122587	0.0552218	0.0307385																				
operator[]<int> at Kokkos_View.hpp	0.0804224	0.006	444629000	0.202877	0.18388	0.0515431	0.0461077																				
Kokkos::Impl::ParallelFor<ForceZeroFunctor, unsigned long, Kokkos::OpenMP>::ParallelFor(ForceZeroFunctor const&, unsigned long) at Kokkos_OpenMP_Parallel.hpp	0.0697307	0.006	285140000	0.175905	0.18388	0.0446907	0.0461077																				
ForceZeroFunctor::operator()(int) const at force.h	0.0689959	0.006	288539000	0.174052	0.18388	0.0442198	0.0461077																				
Kokkos::Impl::ViewInit<Kokkos::View<int**, Kokkos::OpenMP, void, void, Kokkos::Impl::LayoutDefault>, 2u>::operator()(unsigned long) const at Kokkos_ViewSupport.hpp	0.068587	0.005	618442000	0.17302	0.153233	0.0439577	0.0384231																				
Kokkos::Impl::ViewInit<Kokkos::View<double* [3], Kokkos::LayoutRight, Kokkos::OpenMP, void, Kokkos::Impl::LayoutDefault>, 2u>::operator()(unsigned long) const at Kokkos_ViewSupport.hpp	0.0637391	0.004	232616000	0.160791	0.122587	0.0408507	0.0307385																				
DeepCopyFunctor<Kokkos::View<double* [3], Kokkos::LayoutRight, Kokkos::OpenMP, void, Kokkos::Impl::LayoutDefault>, 2>::operator()(int) const at types.h	0.0598301	0.005	237583000	0.150929	0.153233	0.0383454	0.0384231																				
Atom::pack_reverseItem(int const&) const at atom.cpp	0.0492959	0.003	221567000	0.124356	0.0919399	0.031594	0.0230539																				
Atom::unpack_commItem(int const&) const at atom.cpp	0.0411274	0.004	345840000	0.103749	0.122587	0.0263588	0.0307385																				
at<long unsigned int, long unsigned int> at Kokkos_View.hpp	0.0348895	0.002	511358000	0.0880135	0.0612933	0.0223609	0.0153692																				
Atom::pack_commItemPBC(int const&) const at atom.cpp	0.0344559	0.002	209355000	0.0869196	0.0612933	0.0220829	0.0153692																				
Atom::sortItem(int const&) const at atom.cpp	0.0313294	0.002	194669000	0.0790328	0.0612933	0.0200792	0.0153692																				
Kokkos::Impl::ViewInit<Kokkos::View<double* [3], Kokkos::OpenMP, void, void, Kokkos::Impl::LayoutDefault>, 2u>::operator()(unsigned long) const at Kokkos_ViewSupport.hpp	0.0275355	0.002	182598000	0.069462	0.0612933	0.0176476	0.0153692																				
Neighbor::binatomsItem(int const&) const at neighbor.cpp	0.020822	0.002	309039000	0.0525263	0.0612933	0.0133449	0.0153692																				
DeepCopyFunctor<Kokkos::View<double* [3], Kokkos::OpenMP, void, void, Kokkos::Impl::LayoutDefault>, 2>::operator()(int) const at types.h	0.0193437	0.002	319307000	0.048797	0.0612933	0.0123974	0.0153692																				
Neighbor::coord2bin(double, double, double) const at neighbor.cpp	0.0188693	0.002	539098000	0.0476005	0.0612933	0.0120935	0.0153692																				
Kokkos::Impl::ParallelFor<NeighborBinatomsFunctor, unsigned long, Kokkos::OpenMP>::ParallelFor(NeighborBinatomsFunctor const&, unsigned long) at Kokkos_OpenMP_Parallel.hpp	0.0164024	0.002	519443000	0.0413772	0.0612933	0.0105124	0.0153692																				
create_atoms(Atom&, int, int, int, double) at setup.cpp	0.0155284	0.001	279315000	0.0391725	0.0306466	0.00995224	0.00768462																				
upper_bound at Kokkos_MemoryTracking.cpp	0.0103147	0.001	283317000	0.0260202	0.0306466	0.00661074	0.00768462																				
Comm::growsend(int) at comm.cpp	0.0101307	0.001	332970000	0.0255561	0.0306466	0.00649283	0.00768462																				
Kokkos::Impl::ParallelFor<InitialIntegrateFunctor, unsigned long, Kokkos::OpenMP>::ParallelFor(InitialIntegrateFunctor const&, unsigned long) at Kokkos_OpenMP_Parallel.hpp	0.0100693	0.001	375442000	0.0254012	0.0306466	0.00645347	0.00768462																				
Kokkos::Impl::MemoryTracking::increment(void const*) at Kokkos_MemoryTracking.cpp	0.00954209	0.001	311497000	0.0240712	0.0306466	0.00611557	0.00768462																				
																											
THREAD 1																											
Func Name	Total Energy(j)	Total Time(s)	Energy Efficiency(inst/joule)	% Core Energy	% Core Time	% Tot Energy	% Tot Time																				
atomic_fetch_add<double> at Kokkos_Atomic_Fetch_Add.hpp	22.8546	1.935	301730000	59.5011	59.5385	14.6476	14.8697																				
compute_halfneigh_threadedItem<0, 1> at force_lj.cpp	7.25476	0.613	296465000	18.8875	18.8615	4.64961	4.71067																				
operator()<int, int> at Kokkos_View.hpp	3.41967	0.294	305057000	8.90297	9.04615	2.19168	2.25928																				
Neighbor::build_Item(int const&) const at neighbor.cpp	3.1736	0.221	527383000	8.26235	6.8	2.03398	1.6983																				
compute_halfneigh_threadedItem<1, 1> at force_lj.cpp	0.301393	0.026	296061000	0.784665	0.8	0.193165	0.1998																				
Integrate::initialIntegrateItem(int const&) const at integrate.cpp	0.254249	0.026	258884000	0.661927	0.8	0.16295	0.1998																				
?? at ??	0.239762	0.039	262551000	0.62421	1.2	0.153664	0.2997																				
ViewAssignment<int const*, Kokkos::OpenMP, Kokkos::MemoryTraits<1u>, void, int**, Kokkos::LayoutRight, Kokkos::OpenMP, void> at Kokkos_ViewDefault.hpp	0.0936602	0.007	604593000	0.24384	0.215385	0.0600273	0.0537924																				
Kokkos::Impl::ViewInit<Kokkos::View<int**, Kokkos::OpenMP, void, void, Kokkos::Impl::LayoutDefault>, 2u>::operator()(unsigned long) const at Kokkos_ViewSupport.hpp	0.0908624	0.005	605791000	0.236556	0.153846	0.0582342	0.0384231																				
random at setup.cpp	0.079699	0.01	232565000	0.207493	0.307692	0.0510795	0.0768462																				
Integrate::finalIntegrateItem(int const&) const at integrate.cpp	0.0789612	0.013	215405000	0.205572	0.4	0.0506066	0.0999001																				
ForceZeroFunctor::operator()(int) const at force.h	0.0699754	0.007	301142000	0.182178	0.215385	0.0448476	0.0537924																				
DeepCopyFunctor<Kokkos::View<double* [3], Kokkos::LayoutRight, Kokkos::OpenMP, void, Kokkos::Impl::LayoutDefault>, 2>::operator()(int) const at types.h	0.0686901	0.005	217493000	0.178832	0.153846	0.0440238	0.0384231																				
Kokkos::Impl::ParallelFor<ForceZeroFunctor, unsigned long, Kokkos::OpenMP>::ParallelFor(ForceZeroFunctor const&, unsigned long) at Kokkos_OpenMP_Parallel.hpp	0.0667895	0.005	272509000	0.173884	0.153846	0.0428057	0.0384231																				
operator[]<int> at Kokkos_View.hpp	0.0612757	0.006	532411000	0.159529	0.184615	0.0392719	0.0461077																				
Atom::unpack_commItem(int const&) const at atom.cpp	0.0453424	0.005	337678000	0.118047	0.153846	0.0290602	0.0384231																				
Atom::sortItem(int const&) const at atom.cpp	0.0354136	0.002	181550000	0.0921978	0.0615385	0.0226967	0.0153692																				
Atom::pack_commItemPBC(int const&) const at atom.cpp	0.0285249	0.002	207016000	0.0742634	0.0615385	0.0182818	0.0153692																				
Neighbor::binatomsItem(int const&) const at neighbor.cpp	0.0239176	0.002	307284000	0.0622686	0.0615385	0.0153289	0.0153692																				
DeepCopyFunctor<Kokkos::View<double* [3], Kokkos::OpenMP, void, void, Kokkos::Impl::LayoutDefault>, 2>::operator()(int) const at types.h	0.0232321	0.002	317743000	0.0604838	0.0615385	0.0148896	0.0153692																				
Neighbor::coord2bin(double, double, double) const at neighbor.cpp	0.020947	0.002	534434000	0.0545347	0.0615385	0.0134251	0.0153692																				
Kokkos::Impl::ViewInit<Kokkos::View<double* [3], Kokkos::LayoutRight, Kokkos::OpenMP, void, Kokkos::Impl::LayoutDefault>, 2u>::operator()(unsigned long) const at Kokkos_ViewSupport.hpp	0.0203604	0.004	369698000	0.0530074	0.123077	0.0130491	0.0307385																				
Kokkos::Impl::ParallelFor<NeighborBinatomsFunctor, unsigned long, Kokkos::OpenMP>::ParallelFor(NeighborBinatomsFunctor const&, unsigned long) at Kokkos_OpenMP_Parallel.hpp	0.0181555	0.002	517728000	0.047267	0.0615385	0.0116359	0.0153692																				
Kokkos::Impl::ViewInit<Kokkos::View<double* [3], Kokkos::OpenMP, void, void, Kokkos::Impl::LayoutDefault>, 2u>::operator()(unsigned long) const at Kokkos_ViewSupport.hpp	0.0180856	0.002	154863000	0.047085	0.0615385	0.0115911	0.0153692																				
at<long unsigned int, long unsigned int> at Kokkos_View.hpp	0.012914	0.002	510826000	0.033621	0.0615385	0.00827664	0.0153692																				
Kokkos::Impl::MemoryTracking::increment(void const*) at Kokkos_MemoryTracking.cpp	0.00959058	0.001	311498000	0.0249687	0.0307692	0.00614665	0.00768462																				
Comm::growsend(int) at comm.cpp	0.00930521	0.001	332986000	0.0242257	0.0307692	0.00596376	0.00768462																				
Atom::unpack_reverseItem(int const&) const at atom.cpp	0.00903493	0.004	179816000	0.0235221	0.123077	0.00579054	0.0307385																				
create_atoms(Atom&, int, int, int, double) at setup.cpp	0.0083039	0.001	279371000	0.0216189	0.0307692	0.00532201	0.00768462																				
Kokkos::Impl::ParallelFor<InitialIntegrateFunctor, unsigned long, Kokkos::OpenMP>::ParallelFor(InitialIntegrateFunctor const&, unsigned long) at Kokkos_OpenMP_Parallel.hpp	0.00783139	0.001	375448000	0.0203887	0.0307692	0.00501918	0.00768462																				
upper_bound at Kokkos_MemoryTracking.cpp	0.00577976	0.001	283319000	0.0150474	0.0307692	0.00370428	0.00768462																				
Atom::pack_reverseItem(int const&) const at atom.cpp	0.00572874	0.004	219067000	0.0149145	0.123077	0.00367158	0.0307385																				
																											
THREAD 2																											
Func Name	Total Energy(j)	Total Time(s)	Energy Efficiency(inst/joule)	% Core Energy	% Core Time	% Tot Energy	% Tot Time																				
atomic_fetch_add<double> at Kokkos_Atomic_Fetch_Add.hpp	23.4345	1.984	293524000	59.7423	61.0462	15.0193	15.2463																				
compute_halfneigh_threadedItem<0, 1> at force_lj.cpp	6.80314	0.574	293168000	17.3434	17.6615	4.36017	4.41097																				
operator()<int, int> at Kokkos_View.hpp	3.2998	0.276	302688000	8.41228	8.49231	2.11486	2.12096																				
Neighbor::build_Item(int const&) const at neighbor.cpp	3.18414	0.221	510054000	8.11742	6.8	2.04073	1.6983																				
?? at ??	0.679225	0.051	231698000	1.73157	1.56923	0.435319	0.391916																				
Integrate::initialIntegrateItem(int const&) const at integrate.cpp	0.332906	0.026	269368000	0.848686	0.8	0.213361	0.1998																				
compute_halfneigh_threadedItem<1, 1> at force_lj.cpp	0.321712	0.026	276706000	0.82015	0.8	0.206187	0.1998																				
Integrate::finalIntegrateItem(int const&) const at integrate.cpp	0.230102	0.016	222295000	0.586606	0.492308	0.147474	0.122954																				
ForceZeroFunctor::operator()(int) const at force.h	0.105052	0.007	264694000	0.267813	0.215385	0.0673287	0.0537924																				
Atom::unpack_reverseItem(int const&) const at atom.cpp	0.0979263	0.006	195094000	0.249646	0.184615	0.0627615	0.0461077																				
ViewAssignment<int const*, Kokkos::OpenMP, Kokkos::MemoryTraits<1u>, void, int**, Kokkos::LayoutRight, Kokkos::OpenMP, void> at Kokkos_ViewDefault.hpp	0.0735775	0.006	617746000	0.187573	0.184615	0.0471562	0.0461077																				
operator[]<int> at Kokkos_View.hpp	0.0727473	0.006	487359000	0.185457	0.184615	0.0466241	0.0461077																				
